Date,Open,High,Low,Close,Adj Close,Volume
2023-07-03,18941.445450976076,19159.97845055812,18961.74616212281,18880.541695205884,19091.01484424984,189503119
2023-07-04,19098.447848496748,19058.068502404934,19021.481826206596,19143.175188209247,18904.62714940079,247824868
2023-07-05,19017.42798290078,19136.280290189537,18821.58502527961,18931.145856956377,18868.190508406686,216121133
2023-07-06,19020.19917217986,18966.811125883636,18788.944944463332,19044.063570751445,19202.690081889068,115111215
2023-07-07,18919.092015928258,19142.49235172596,18804.097863948828,19024.691641566325,19223.15047499644,251650224
2023-07-10,19043.740618457927,18942.422813128258,18902.62349878357,19050.403684110534,19166.225343804745,159068405
2023-07-11,19120.941786635784,19019.112250684622,18851.66600289838,18987.66038033422,19180.13613272974,104319466
2023-07-12,18744.525382696396,19132.400652780187,18987.01428364154,18917.64014519511,19021.89248285963,234708654
2023-07-13,19023.99392476564,19136.066475408523,18985.27899616111,19155.500174496763,19096.094140456236,272346442
2023-07-14,19066.39407033104,18970.406317782024,18769.128271730708,19091.666880551424,19107.223090723426,129946840
2023-07-17,18894.270928844853,18983.44328026198,18869.436717148907,19165.3428514215,18985.498321653446,116160696
2023-07-18,19120.903220334327,19119.09247927065,18689.610491310046,18985.60496236115,19056.337901671814,163343170
2023-07-19,19043.266284851274,19176.587550489443,18730.091620421146,19184.73857583621,19408.708690544896,294097267
2023-07-20,18857.11476376299,19082.67304317927,18902.171053508242,18932.08094900168,18995.62645140965,176791297
2023-07-21,18944.58167496673,19130.12391552373,18927.097817350597,18953.090702458238,18872.15352297627,133496550
2023-07-24,19051.600213709477,19223.305508512563,18700.244494514547,19116.030264810557,19033.039420635283,205529449
2023-07-25,18891.619429410264,19048.189197585456,19062.340861397104,19199.570914368996,19011.540324168272,186412765
2023-07-26,18924.002271747897,19237.73957759443,18920.902192283753,19080.452119436653,19231.46350766391,284642022
2023-07-27,19028.955115369532,19053.514587935195,19064.326539539266,19110.819809277575,19130.94912591938,240932136
2023-07-28,19215.78725584813,19013.687722644383,18870.28745370528,18907.20830070213,19136.776621743775,103346353
2023-07-31,18833.76104364641,19062.302900172752,18980.432254120926,19104.432513553253,18971.070433997993,225279208
2023-08-01,19217.006171746965,18968.992600779893,18919.783139757565,18949.06512563952,18953.182634051147,291064265
2023-08-02,19211.563457815348,18967.652628922453,18751.338665934083,19097.48523460215,18887.18209527079,146566598
2023-08-03,18993.543526090594,19073.092678682373,18985.31390430526,18950.303589799714,19003.91742653652,119228799
2023-08-04,19026.5635582264,19095.370084734725,19010.55669432365,19046.510656401733,19078.646616919385,290943998
2023-08-07,18899.78161847129,19107.459361006528,18786.698551464408,19256.829321610956,18941.82543803228,296321890
2023-08-08,18937.834102052126,19104.922519232183,18940.587055469754,18968.218698327713,19201.44806381978,133987891
2023-08-09,19050.526321908972,18971.3525058068,18992.74052318008,19048.363946672103,19123.026325630402,101044848
2023-08-10,19203.77156041975,18998.19882186194,18900.229735903697,18909.54420754641,19067.26378302724,105890061
2023-08-11,19065.1903145622,18906.865669718714,18910.3879758458,19160.15615211336,19066.914255898806,292207522
2023-08-14,18964.77927297995,19059.395912514294,18837.20042216746,19167.956060715944,18868.37098197403,252808569
